,Geo,Date_Time,User,Tweet,Language,Location,UserAccountVerified,Tweet_Source,Retweet_Count,Tweet_FavCount
456,,2020-03-14 12:43:09,AmbSteveMbugua,My Company  has been at the fore front in helping equip medic and other citizens with the appropriate… ,en,nairobi,False,Twitter Web App,0,1
457,,2020-03-14 12:42:58,kehwi_m, Wakale 😂😂😂 #covid19kenya #coronaInkenya #rongai ,in,"Nairobi,Kenya",False,Twitter for Android,328,0
458,,2020-03-14 12:42:40,NyagakaNyakundi, You don’t have to stand on long and crowded lines to access your cash in the banking hall #KeepCalmGoDigitalBanking Le…,en,"Nairobi, Kenya",False,Twitter for Android,4,0
459,,2020-03-14 12:42:27,Bronti01, People Naples-Italy have banded together amid #coronavirus lockdown as they sang from their balconies.#covud19 #Coro…,en,Ontario CA ,False,Twitter for iPhone,10,0
460,,2020-03-14 12:42:02,anthony_254, Stay safe.Meanwhile Gargling ni kufanya Groooooo  Groooooo .Hope you feel me #covid19kenya #coronaInkenya #rongai …,en,Kinoo,False,Twitter for Android,34,0
461,,2020-03-14 12:41:55,Tolbert_Ke, People of the INTERNET;😷 Don't SPREAD false information📣 Only SPREAD  OFFICIAL info - 👨‍👨‍👧‍👦…,en,Kenya,False,Twitter for Android,2,0
462,,2020-03-14 12:41:46,Arnoldwangs, You don’t have to stand on long and crowded lines to access your cash in the banking hall #KeepCalmGoDigitalBanking Le…,en,"Nairobi,Kenya",False,Twitter for iPhone,4,0
463,,2020-03-14 12:41:38,anthony_254, Anyone else seeing this!!!? #covid19kenya #coronaInkenya ,en,Kinoo,False,Twitter for Android,34,0
464,,2020-03-14 12:41:29,NaitwaTsuma,#coronaInkenya#covid19kenya is this true that there are no Cases?😅 ....Confused... ,en,,False,Twitter for Android,0,1
465,,2020-03-14 12:41:17,muhabeid, Wakalee tulkosea nini 🤣🤣🤣If you haven't watched this be sure to watch till the end. #covid19kenya #CoronaVirusUpdates…,en,"Nairobi, Kenya",False,Twitter for Android,176,0
466,,2020-03-14 12:41:05,mukhebijunior, Wakalee tulkosea nini 🤣🤣🤣If you haven't watched this be sure to watch till the end. #covid19kenya #CoronaVirusUpdates…,en,"Nairobi, Kenya",False,Twitter for Android,176,0
