48,49,2019-10-12 02:48:05,yet kenyapower_care want switchoffkplc maintenance unbelievable ineos159 nohumanislimited httpstcomcipust5kx,en,,False,Twitter for Android,0,0,2019,41,285,October,5,Saturday,2,48,11,125,10.454545454545457,2,3,0,1,-0.25
49,50,2019-10-12 02:43:19,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,Kenya.,False,Twitter for Android,118,0,2019,41,285,October,5,Saturday,2,43,8,83,8.222222222222221,2,1,0,1,0.0
50,51,2019-10-12 02:36:06,kenyapower_care whole world waiting eliud159 ineos159 nohumanislimited eliudkipchoge want httpstcoknzgik4jc8,en,,False,Twitter for Android,0,0,2019,41,285,October,5,Saturday,2,36,15,137,8.2,3,3,0,1,0.2
51,52,2019-10-12 00:07:22,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,Kahawa West,False,Twitter for Android,118,0,2019,41,285,October,5,Saturday,0,7,8,83,8.222222222222221,2,1,0,1,0.0
52,53,2019-10-11 22:47:56,mikesonko eliudkipchoge safaraicom stingy company offering free bundles tomorrow zile bu httpstcog0uhgfhvqh,en,,False,Twitter for Android,0,0,2019,41,284,October,4,Friday,22,47,18,140,6.833333333333332,6,0,0,0,0.4
53,54,2019-10-11 22:25:02,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,,False,Twitter for Android,118,0,2019,41,284,October,4,Friday,22,25,8,83,8.222222222222221,2,1,0,1,0.0
54,55,2019-10-11 22:14:15,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,Nairobi,False,Twitter for Android,118,0,2019,41,284,October,4,Friday,22,14,8,83,8.222222222222221,2,1,0,1,0.0
55,56,2019-10-11 21:22:51,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,"Kabimoi, Kenya",False,Twitter for Android,118,0,2019,41,284,October,4,Friday,21,22,8,83,8.222222222222221,2,1,0,1,0.0
56,57,2019-10-11 21:18:27,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,دبي,False,Twitter for Android,118,0,2019,41,284,October,4,Friday,21,18,8,83,8.222222222222221,2,1,0,1,0.0
57,58,2019-10-11 21:16:38,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,"Nairobi,Kenya",False,Twitter for Android,118,0,2019,41,284,October,4,Friday,21,16,8,83,8.222222222222221,2,1,0,1,0.0
58,59,2019-10-11 21:12:37,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,,False,Twitter for Android,118,0,2019,41,284,October,4,Friday,21,12,8,83,8.222222222222221,2,1,0,1,0.0
59,60,2019-10-11 20:50:34,olivermathenge switchoffkplc time end monopoly join petition,en,Kenya,False,Twitter Web App,0,0,2019,41,284,October,4,Friday,20,50,10,75,6.6,3,1,0,0,0.0
60,61,2019-10-11 20:44:11,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,,False,Twitter for Android,118,0,2019,41,284,October,4,Friday,20,44,8,83,8.222222222222221,2,1,0,1,0.0
61,62,2019-10-11 19:38:45,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,"Nairobi, Kenya",False,Twitter Web App,118,0,2019,41,284,October,4,Friday,19,38,8,83,8.222222222222221,2,1,0,1,0.0
62,63,2019-10-11 19:32:05,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,"Nairobi, Kenya",False,Twitter for Android,118,0,2019,41,284,October,4,Friday,19,32,8,83,8.222222222222221,2,1,0,1,0.0
63,64,2019-10-11 19:16:02,kipmurkomen eliudkipchoge switchoffkplc,und,,False,Twitter for Android,0,1,2019,41,284,October,4,Friday,19,16,3,42,13.333333333333336,0,1,0,0,0.0
64,65,2019-10-11 18:05:09,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,Kenya,False,Twitter for iPad,118,0,2019,41,284,October,4,Friday,18,5,8,83,8.222222222222221,2,1,0,1,0.0
65,66,2019-10-11 16:59:00,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,Kampala ,False,Twitter for Android,118,0,2019,41,284,October,4,Friday,16,59,8,83,8.222222222222221,2,1,0,1,0.0
66,67,2019-10-11 16:31:14,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,"Nairobi, Kenya",False,Twitter for Android,118,0,2019,41,284,October,4,Friday,16,31,8,83,8.222222222222221,2,1,0,1,0.0
67,68,2019-10-11 16:24:21,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,,False,Twitter for Android,118,0,2019,41,284,October,4,Friday,16,24,8,83,8.222222222222221,2,1,0,1,0.0
68,69,2019-10-11 16:06:40,rt harun_johnson stop sideshows wishes birthdays utility service demand provide reliable service fo,en,"Nairobi, Kenya.",False,Twitter for iPhone,13,0,2019,41,284,October,4,Friday,16,6,22,140,5.409090909090909,7,0,0,1,0.0
69,70,2019-10-11 15:35:08,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,254 NAX,False,Twitter for Android,118,0,2019,41,284,October,4,Friday,15,35,8,83,8.222222222222221,2,1,0,1,0.0
70,71,2019-10-11 15:30:32,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,Kenya,False,Twitter for iPhone,118,0,2019,41,284,October,4,Friday,15,30,8,83,8.222222222222221,2,1,0,1,0.0
71,72,2019-10-11 15:07:47,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,"Nairobi, Kenya",False,Twitter for Android,118,0,2019,41,284,October,4,Friday,15,7,8,83,8.222222222222221,2,1,0,1,0.0
72,73,2019-10-11 15:05:50,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,Kenya,False,Twitter for Android,118,0,2019,41,284,October,4,Friday,15,5,8,83,8.222222222222221,2,1,0,1,0.0
73,74,2019-10-11 14:48:42,kenyapower switchoffkplc,und,Kenya,False,Twitter for Android,0,0,2019,41,284,October,4,Friday,14,48,2,26,12.5,0,1,0,0,0.0
74,75,2019-10-11 14:19:57,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,Zootropolis,False,Twitter for Android,118,0,2019,41,284,October,4,Friday,14,19,8,83,8.222222222222221,2,1,0,1,0.0
75,76,2019-10-11 14:06:46,rt jerotichseii switchoffkplc httpstcodyv8gfg17f,und,"Nairobi, Kenya",False,Twitter Web App,3,0,2019,41,284,October,4,Friday,14,6,4,56,13.25,0,1,0,1,0.0
76,77,2019-10-11 13:43:16,rt harun_johnson stop sideshows wishes birthdays utility service demand provide reliable service fo,en,"Nairobi, Kenya",False,Twitter Web App,13,0,2019,41,284,October,4,Friday,13,43,22,140,5.409090909090909,7,0,0,1,0.0
77,78,2019-10-11 13:33:59,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,#AmKenyan ,False,Twitter for Android,118,0,2019,41,284,October,4,Friday,13,33,8,83,8.222222222222221,2,1,0,1,0.0
78,79,2019-10-11 13:29:56,rt jerotichseii switched switchoffkplc httpstcohjiluluqiq,en,"Kitale, Kenya",False,Twitter for Android,118,0,2019,41,284,October,4,Friday,13,29,8,83,8.222222222222221,2,1,0,1,0.0
